video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date
SMwW4_hHbWw,Bikers Satara,UCMrekvS9ov7hMps5P62_-Ow,1633104800.0,Maharashtra ev policy 2021 in marathi|मराठी|Maharashtra ev subsidy,नमस्कार आपल स्वागत आहे Turbo Charged मराठी मधे.तर आज आपन Maharashtra ev policy 2021 in ...,,https://i.ytimg.com/vi/SMwW4_hHbWw/hqdefault.jpg,2023-12-02 21:46:47.019992
ML2JckEB3pk,TDReviewer,UCND9Xlr_djtg2ngFYwqCYfQ,1630137605.0,Ather 450 | Is it worth it | Maharashtra EV policy  2021| Test drive,"I had booked a test drive for the Ather in Bandra on January 26, 2021, but the store was closed. There was no contact between the ...",,https://i.ytimg.com/vi/ML2JckEB3pk/hqdefault.jpg,2023-12-02 21:46:47.020023
veTUdIbPk1U,Climate Samurai,UCzMH-gXD3EeE3j7ewIqZsNw,1624511749.0,Gujarat Electric Vehicle Policy: Here is what you should know,Gujarat EV Policy 2021: Here is what you should know Gujarat government recently announced its all new electric vehicle policy ...,,https://i.ytimg.com/vi/veTUdIbPk1U/hqdefault.jpg,2023-12-02 21:46:47.020053
r49Gsz-lklE,Dhruv Rathee,UC-CSyyi47VX1lD9zyeABW3w,1614101435.0,Electric Cars in India | Can you buy a Tesla? | Analysis by Dhruv Rathee,"Can you afford to buy an Electric Car or Scooter in India? In this video, I present you the solution to how you can. I explain the ...",,https://i.ytimg.com/vi/r49Gsz-lklE/hqdefault.jpg,2023-12-02 21:46:47.020084
99jP9Up_KcI,EVclub,UCXaO2UwzkF5dQfS_JayQohQ,1631975682.0,Uttarakhand EV Policy #shorts #evpolicy #electriccars,,,https://i.ytimg.com/vi/99jP9Up_KcI/hqdefault.jpg,2023-12-02 21:46:47.020113
GYYf-MlQYsc,EVclub,UCXaO2UwzkF5dQfS_JayQohQ,1631975460.0,Kerala EV Policy #shorts #evpolicy #electriccars,,,https://i.ytimg.com/vi/GYYf-MlQYsc/hqdefault.jpg,2023-12-02 21:46:47.020143
ilAwYDIdq7c,Auto Indepth,UCO7NeDHUBu9FM6ufSTS3Z4w,1611827903.0,Pakistan&#39;s electric vehicle policy - ev policy is implementing soon in pakistan,"PakistanElectricVehiclePolicy#EVPolicyPakistan #ElectricCarsPakistan This video is all about ""Pakistan's electric vehicle policy ...",,https://i.ytimg.com/vi/ilAwYDIdq7c/hqdefault.jpg,2023-12-02 21:46:47.020173
W7Lx26MXhRU,EVclub,UCXaO2UwzkF5dQfS_JayQohQ,1631976019.0,Punjab EV Policy #shorts #evpolicy #electriccars,,,https://i.ytimg.com/vi/W7Lx26MXhRU/hqdefault.jpg,2023-12-02 21:46:47.020203
BQiHQ56B7UA,Plug In BC,UCwlxpwmG_ACnLyjRzHLXH-A,1637814892.0,Silent Gardener   EV Policy Requests,The Silent Gardener is an all-electric-powered landscaping company. They currently use two 2012 Ford Transit Connects (Electric ...,,https://i.ytimg.com/vi/BQiHQ56B7UA/hqdefault.jpg,2023-12-02 21:46:47.020233
_Yp0KUPGUXw,Electric Vehicles India,UC_ebLnatS9Fje8LhydkCqOg,1626292541.0,Maharashtra Electric Vehicle Policy 2021 - Incentives Festival,"Maharashtra EV Policy 2021 - 42000 Incentives on Electric two wheelers, 50000 Incentives on Electric 3 wheelers and 1.5 lakh ...",,https://i.ytimg.com/vi/_Yp0KUPGUXw/hqdefault.jpg,2023-12-02 21:46:47.020263
wn1BoVi7KcA,ShivSena UBT,UC0x-HSZOZyIqWnp75zgFYww,1626191873.0,EV Policy Press Conference LIVE,,,https://i.ytimg.com/vi/wn1BoVi7KcA/hqdefault.jpg,2023-12-02 21:46:47.020293
c3MfVCn4nr0,StudyIQ IAS,UCrC8mOqJQpoB7NuIMKIS6rQ,1628370011.0,Maharashtra Electric Vehicle Policy 2021 to promote EV adoption - S&amp;T Current Affairs for MPSC exam,Enrol to StudyIQ's Flagship UPSC IAS (Pre + Mains) LIVE Foundation Batch 9. Admissions closing on 10 DEC'22 | Enrol now ...,,https://i.ytimg.com/vi/c3MfVCn4nr0/hqdefault.jpg,2023-12-02 21:46:47.020322
dibHUBWxsy8,AutoGear Plus,UC2gOq9twge1LW4c5XqAB8AQ,1632672016.0,Ola Electric Scooter | S1 | S1 Pro | EV Policy | Test Ride | Keyless Start | eSim Subscription Free?,"Free Demat account in 5 mins, offer valid till 22 October - https://upstox.com/open-account/?f=R2JR In this video we will be talking ...",,https://i.ytimg.com/vi/dibHUBWxsy8/hqdefault.jpg,2023-12-02 21:46:47.020362
Tr24ama4yFA,EV ASSAM,UCw8sGRBiURzWmePEuEA3wew,1631457562.0,ASSAM EV POLICY@ASSAMGOV#electric #rcb#mi#kkr#csk#ipl#assam#guwahati#india#ola#simpleenergy,ELECTRIC VEHICLE POLICY.,,https://i.ytimg.com/vi/Tr24ama4yFA/hqdefault.jpg,2023-12-02 21:46:47.020394
aSGuG4Hi6eM,EVclub,UCXaO2UwzkF5dQfS_JayQohQ,1631975187.0,Karnataka Ev Policy #shorts #evpolicy #electriccars,,,https://i.ytimg.com/vi/aSGuG4Hi6eM/hqdefault.jpg,2023-12-02 21:46:47.020424
gkVb7Gvc9zY,EV Radar,UClM8P9i6aq6YrPvgYdhv9eg,1632130205.0,"Rajasthan EV Policy 2021 - upto ₹10,000 Benefit on Electric Scooters &amp; SGST Reimbursement ➡ JustEV",Latest EV's in India - https://justev.info Check other State EV Policies ...,,https://i.ytimg.com/vi/gkVb7Gvc9zY/hqdefault.jpg,2023-12-02 21:46:47.020455
-vqhvdWplyM,1News,UCxPAYgO8OpFev3PUTKbsxNw,1623891670.0,Transport Minister stands by EV policy despite limited availability in current NZ market,Michael Wood says several manufacturers are promising to roll out more vehicles within the next two years. Subscribe to 1 NEWS: ...,,https://i.ytimg.com/vi/-vqhvdWplyM/hqdefault.jpg,2023-12-02 21:46:47.020486
H0YA_fLoOLk,Gyani Falcon,UCoUmPb7eWmmat1xrvD0S7rA,1623131346.0,electric vehicle policy in maharashtra Maharashtra | 2000  Charging Stations निर्माण करेगा,"The Maharashtra government announced its Electric Vehicles (EV) Policy 2021 on Thursday, with the goal of electric vehicles ...",,https://i.ytimg.com/vi/H0YA_fLoOLk/hqdefault.jpg,2023-12-02 21:46:47.020516
_rsYN_jESkI,EVclub,UCXaO2UwzkF5dQfS_JayQohQ,1630972775.0,Maharashtra government EV Policy 2021 | Subsidy 2.5 Lac 💸🔥,,,https://i.ytimg.com/vi/_rsYN_jESkI/hqdefault.jpg,2023-12-02 21:46:47.020545
xzB8sDtnvH4,CA Puneet Jajoo,UCd4B6bFqze3kHEiC6b7yPmA,1633977008.0,New EV Policy | Auto Stocks to Soar | MSS Share News | Marico Share News |Solar Ind Share News | CIL,"EV Policy,Auto Stocks, MSS Share, Marico Share, Solar Industries share, All Details Analysis By CA Puneet Jajoo Solar industries ...",,https://i.ytimg.com/vi/xzB8sDtnvH4/hqdefault.jpg,2023-12-02 21:46:47.020575
L-XdkQpbFKI,Daily Central,UCgvyhxAxtt4M3dFaRtWamuQ,1624487821.0,New Gujarat EV policy 2021 Explained,,,https://i.ytimg.com/vi/L-XdkQpbFKI/hqdefault.jpg,2023-12-02 21:46:47.020604
qcGPUXBBrwk,EV Radar,UClM8P9i6aq6YrPvgYdhv9eg,1636203672.0,Delhi Government Stops Subsidies on Electric Cars under EV Policy  ➡ JustEV,Latest EV's in India - https://justev.info SUBSCRIBE JustEV Hindi - https://bit.ly/JustEVhin & English https://bit.ly/JustEVeng Follow ...,,https://i.ytimg.com/vi/qcGPUXBBrwk/hqdefault.jpg,2023-12-02 21:46:47.020634
UOpQ1R2Nmv8,IRevolution4.0,UCxUdQrE2TXPFYlNHkgyhSoA,1625153428.0,Gujarat EV Policy Explained| New Gujarat Electric Vehicle Policy 2021|New Electric Vehicle Subsidy🔥🔥,In this This IRevolution 4.0 Gujarat EV Policy Explained| New Electric Vehicle Policy 2021 Video Will see the Highlights of Policy ...,,https://i.ytimg.com/vi/UOpQ1R2Nmv8/hqdefault.jpg,2023-12-02 21:46:47.020673
MrsJkfn1ltg,CA Puneet Jajoo,UCd4B6bFqze3kHEiC6b7yPmA,1623866422.0,Govt की नयी EV Policy | इन Stocks को होगा फायदा | #StocksForBeginners #ShareMarket | TVS Share News,"Bajaj Auto Share News , Hero Moto Share News , TVS Share News , Subsidy benefit currently limited to two-wheeler segment ...",,https://i.ytimg.com/vi/MrsJkfn1ltg/hqdefault.jpg,2023-12-02 21:46:47.020705
1vVsMi_QDLM,DIGITAL SUPPORTER,UCG5XrPfekBNUdP9F5V8FgBQ,1632050739.0,EV POLICY MAHARASHTRA BEST ELECTRIC SCOOTER &amp; BIKE TIME BUY,Maharashtra government EV policy for two-three and four-wheeler #evpolicy #maharashtraevpolicy best time buy electric scooter.,,https://i.ytimg.com/vi/1vVsMi_QDLM/hqdefault.jpg,2023-12-02 21:46:47.636656
